Room type,Price,Location,URL
Habitación Doble,375 €/mes,"Centro-Arroyo-La Fuente, Fuenlabrada, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,350 €/mes,"Alpedrete, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,410 €/mes,"Ajalvir, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,425 €/mes,"Chorrillo, Chorrillo-Garena, Alcalá de Henares, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,600 €/mes,"Valdecabañas, Boadilla del Monte, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble,600 €/mes,"Valdecabañas, Boadilla del Monte, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,380 €/mes,"Acacias, Arganzuela, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,370 €/mes,"San Isidro, Estación, Centro, Alcalá de Henares, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,325 €/mes,"Parque Oeste-Fuente Cisneros-Campodón, Alcorcón, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,330 €/mes,"Casco Antiguo, Alcorcón, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,550 €/mes,"Acacias, Arganzuela, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual · Sólo chicas,450 €/mes,"Casco Antiguo, Majadahonda, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Doble · Sólo chicas,500 €/mes,"Casco Antiguo, Majadahonda, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,375 €/mes,"Santa Eugenia, Villa de Vallecas, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,520 €/mes,"Universidad-Malasaña, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,520 €/mes,"Universidad-Malasaña, Centro, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
Habitación Individual,375 €/mes,"Valverde, Fuencarral-El Pardo, Madrid Capital, Madrid",https://www.pisocompartido.com/habitacion/920448/
